-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.361ms
Self CUDA time total: 10.414ms

headers {'Authorization': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHAiOjE3NDAyMTA3NTJ9.3OPp2Jz_hiiF7zO3mVGDLAxUK-3frsozsWRX8zarts0', 'Content-Type': 'application/json'}
Remote recognition error: 400 {"error":"No images provided"}

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
_5x_cudnn_maxwell_scudnn_winograd_128x128_ldg1_ldg4_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.501ms        39.17%       4.501ms     140.667us            32  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.027ms        17.64%       2.027ms       2.027ms             1  
void op_generic_tensor_kernel<3, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.373ms        11.95%       1.373ms      23.672us            58  
void onnxruntime::cuda::_UnaryElementWise<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us       1.074ms         9.35%       1.074ms      29.838us            36  
void onnxruntime::cuda::_BinaryElementWiseSimple<tru...         0.00%       0.000us         0.00%       0.000us       0.000us     437.234us         3.80%     437.234us      27.327us            16  
void cudnn::winograd::generateWinogradTilesKernel<1,...         0.00%       0.000us         0.00%       0.000us       0.000us     325.229us         2.83%     325.229us      10.163us            32  
       _5x_cudnn_maxwell_scudnn_128x32_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     324.493us         2.82%     324.493us     108.164us             3  
_5x_cudnn_maxwell_scudnn_winograd_128x128_ldg1_ldg4_...         0.00%       0.000us         0.00%       0.000us       0.000us     274.156us         2.39%     274.156us      24.923us            11  
       _5x_cudnn_maxwell_scudnn_128x64_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     271.562us         2.36%     271.562us      90.521us             3  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us     242.953us         2.11%     242.953us      60.738us             4  
void cudnn::pooling_fw_4d_kernel<float, float, cudnn...         0.00%       0.000us         0.00%       0.000us       0.000us     156.006us         1.36%     156.006us     156.006us             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     106.661us         0.93%     106.661us      11.851us             9  
void cudnn::pooling_fw_4d_kernel<float, float, cudnn...         0.00%       0.000us         0.00%       0.000us       0.000us      73.667us         0.64%      73.667us      24.556us             3  
void cudnn::winograd::generateWinogradTilesKernel<0,...         0.00%       0.000us         0.00%       0.000us       0.000us      57.602us         0.50%      57.602us       5.237us            11  
void transpose_readWrite_alignment_kernel<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      49.665us         0.43%      49.665us       5.518us             9  
                                 maxwell_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      49.634us         0.43%      49.634us      24.817us             2  
void onnxruntime::cuda::_ResizeNearestKernel2D<float...         0.00%       0.000us         0.00%       0.000us       0.000us      33.377us         0.29%      33.377us      16.689us             2  
                                maxwell_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us      29.025us         0.25%      29.025us      14.512us             2  
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us      25.697us         0.22%      25.697us      25.697us             1  
void cask__5x_cudnn::computeOffsetsKernel<false, fal...         0.00%       0.000us         0.00%       0.000us       0.000us      18.274us         0.16%      18.274us       3.046us             6  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      16.544us         0.14%      16.544us       2.757us             6  
void onnxruntime::cuda::_ResizeNearestMappingKernel2...         0.00%       0.000us         0.00%       0.000us       0.000us      13.857us         0.12%      13.857us       6.928us             2  
void onnxruntime::cuda::_UnaryElementWise<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us       9.442us         0.08%       9.442us       3.147us             3  
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us       1.600us         0.01%       1.600us       1.600us             1  
                                        cudaMemcpyAsync        90.48%      12.291ms        90.48%      12.291ms     768.214us       0.000us         0.00%       0.000us       0.000us            16  
                                       cudaLaunchKernel         9.01%       1.225ms         9.01%       1.225ms       5.145us       0.000us         0.00%       0.000us       0.000us           238  
                                    cudaPeekAtLastError         0.14%      19.270us         0.14%      19.270us       0.197us       0.000us         0.00%       0.000us       0.000us            98  
                                        cudaMemsetAsync         0.02%       2.796us         0.02%       2.796us       0.466us       0.000us         0.00%       0.000us       0.000us             6  
                                  cudaStreamSynchronize         0.06%       7.574us         0.06%       7.574us       3.787us       0.000us         0.00%       0.000us       0.000us             2  
                                  cudaDeviceSynchronize         0.29%      39.594us         0.29%      39.594us      39.594us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.585ms
Self CUDA time total: 11.492ms
